distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,pareja,sentido,orden_excel,dimensiones_repetidas
32-2,2,UjaNet,DeepONMF_H2,0.9751999999999998,0.0096540147089177,0.938,0.0241350367722943,0.9845,0.0060337591930736,0.9396425241265264,0.0231457720589647,0.96125,0.0150843979826839,1,decreciente,0,False
2-32,2,UjaNet,DeepONMF_H2,0.9624,0.0080498447189992,0.906,0.020124611797498,0.9765,0.0050311529493745,0.9091103128251452,0.0200019024189058,0.94125,0.0125778823734363,1,creciente,1,False
32-8-2,3,UjaNet,DeepONMF_H3,0.9716,0.011081516141756,0.929,0.0277037903543901,0.98225,0.0069259475885975,0.9317028245517088,0.0248745608172587,0.955625,0.0173148689714938,2,decreciente,2,False
2-8-32,3,UjaNet,DeepONMF_H3,0.9632,0.009444575162494,0.908,0.0236114379062352,0.977,0.0059028594765587,0.9095913457833948,0.0230136628924134,0.9425,0.0147571486913969,2,creciente,3,False
32-13-5-2,4,UjaNet,DeepONMF_H4,0.9744,0.0127593103261892,0.936,0.0318982758154731,0.984,0.0079745689538682,0.9371355893634398,0.0302035083933274,0.96,0.0199364223846707,3,decreciente,4,False
2-5-13-32,4,UjaNet,DeepONMF_H4,0.9592,0.0075630681604756,0.8979999999999999,0.018907670401189,0.9745,0.0047269176002972,0.9021117784626284,0.0175218390679292,0.93625,0.0118172940007431,3,creciente,5,False
32-4,2,UjaNet,DeepONMF_H2,0.976,0.010295630140987,0.94,0.0257390753524675,0.985,0.0064347688381169,0.9404412942207074,0.0260497219184184,0.9625,0.0160869220952921,4,decreciente,6,False
4-32,2,UjaNet,DeepONMF_H2,0.9596,0.008173126696681,0.899,0.0204328167417025,0.97475,0.0051082041854256,0.902162920296672,0.0219120423852795,0.936875,0.0127705104635641,4,creciente,7,False
32-11-4,3,UjaNet,DeepONMF_H3,0.9751999999999998,0.0102567051239664,0.938,0.0256417628099161,0.9845,0.0064104407024791,0.9394130899764092,0.0243605375605701,0.96125,0.0160261017561976,5,decreciente,8,False
4-11-32,3,UjaNet,DeepONMF_H3,0.9624,0.0055497747702046,0.906,0.0138744369255116,0.9765,0.0034686092313778,0.9107277575245852,0.0132960634584695,0.94125,0.0086715230784447,5,creciente,9,False
32-16-8-4,4,UjaNet,DeepONMF_H4,0.9684,0.0093166517590816,0.921,0.0232916293977042,0.98025,0.0058229073494261,0.9214059782151252,0.0231888356458298,0.950625,0.0145572683735651,6,decreciente,10,False
4-8-16-32,4,UjaNet,DeepONMF_H4,0.9656,0.008173126696681,0.914,0.0204328167417025,0.9785,0.0051082041854256,0.9161358022481082,0.0203337572942708,0.94625,0.012770510463564,6,creciente,11,False
32-6,2,UjaNet,DeepONMF_H2,0.9716,0.0117813411800185,0.929,0.0294533529500462,0.98225,0.0073633382375116,0.930202987740531,0.0293026847155333,0.9556249999999998,0.0184083455937789,7,decreciente,12,False
6-32,2,UjaNet,DeepONMF_H2,0.9636,0.0051768716422178,0.909,0.0129421791055448,0.97725,0.0032355447763861,0.9129543523467628,0.0137734522789262,0.943125,0.0080888619409654,7,creciente,13,False
32-14-6,3,UjaNet,DeepONMF_H3,0.9732,0.0062609903369994,0.933,0.0156524758424985,0.98325,0.0039131189606247,0.9341499588980928,0.0154463973393892,0.958125,0.0097827974015615,8,decreciente,14,False
6-14-32,3,UjaNet,DeepONMF_H3,0.964,0.0115758369027902,0.91,0.0289395922569755,0.9775,0.0072348980642439,0.9141624073715052,0.0253821572118543,0.94375,0.0180872451606097,8,creciente,15,False
32-18-10-6,4,UjaNet,DeepONMF_H4,0.972,0.0112249721603218,0.93,0.0280624304008045,0.9825,0.0070156076002011,0.9310268622950056,0.0277790903409424,0.95625,0.0175390190005028,9,decreciente,16,False
6-10-18-32,4,UjaNet,DeepONMF_H4,0.9628,0.0096540147089177,0.907,0.0241350367722943,0.97675,0.0060337591930735,0.9104534255208708,0.0224946605822722,0.941875,0.0150843979826839,9,creciente,17,False
