,N,AS,MR,MS,MVP
N,99.5,0.0,0.0,0.0,0.5
AS,0.0,98.5,1.5,0.0,0.0
MR,2.0,0.0,94.5,1.5,2.0
MS,0.0,1.5,1.0,97.0,0.5
MVP,1.0,2.5,2.0,1.5,93.0
