base,clasificador,protocolo_ujanet,representacion,distribucion,numero_capas,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,predicciones,aciertos,exactitud_directa,ruta_matriz_png,ruta_matriz_conteos,ruta_predicciones,protocolo_prueba,snr_db,metodo_factorizacion,matriz_entrada,penalizacion_ortogonal,sin_regularizacion,inicializacion_factorizacion,factorizacion_por_senal,diccionario_comun_por_fold
SNR_5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_H_7,7,1,0.9783999999999999,0.006542170893518491,0.9460000000000001,0.016355427233796092,0.9865,0.00408885680844907,0.9468570519513293,0.016172742965651445,0.9662499999999999,0.01022214202112256,1000,946,0.946,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_5db\ONMF\H\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_5db\ONMF\H\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_5db\ONMF\H\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,5.0,ONMF,H,0.05,False,nndsvd,True,False
SNR_5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_W_7,7,1,0.9388,0.009549869109050646,0.8469999999999999,0.023874672772626615,0.9617499999999998,0.005968668193156724,0.8512008143692128,0.022738081853134123,0.9043749999999999,0.01492167048289167,1000,847,0.847,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_5db\ONMF\W\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_5db\ONMF\W\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_5db\ONMF\W\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,5.0,ONMF,W,0.05,False,nndsvd,True,False
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H_9-8-7,9-8-7,3,0.9792,0.006418722614352494,0.9480000000000001,0.01604680653588123,0.9869999999999999,0.0040117016339703705,0.9500351675171833,0.01463813649557718,0.9674999999999999,0.010029254084925757,1000,948,0.948,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\DeepONMF\H\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\DeepONMF\H\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\DeepONMF\H\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,0.0,DeepONMF,H,0.05,False,nndsvd,True,False
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_W_9-8-7,9-8-7,3,0.9348000000000001,0.009444575162494044,0.837,0.02361143790623512,0.9592500000000002,0.0059028594765587845,0.8417748412250552,0.02360723811693728,0.8981250000000001,0.014757148691397,1000,837,0.837,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\DeepONMF\W\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\DeepONMF\W\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\DeepONMF\W\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,0.0,DeepONMF,W,0.05,False,nndsvd,True,False
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,NMF_H_7,7,1,0.9795999999999999,0.00572712842531055,0.9490000000000001,0.01431782106327632,0.9872500000000001,0.003579455265819105,0.9503300714007045,0.014546535475930206,0.968125,0.008948638164547712,1000,949,0.949,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\NMF\H\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\NMF\H\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\NMF\H\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,0.0,NMF,H,0.0,True,nndsvd,True,False
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,NMF_W_7,7,1,0.932,0.017606816861658995,0.8300000000000001,0.04401704215414748,0.9575000000000001,0.011004260538536868,0.8356714291826401,0.0444713777120237,0.89375,0.027510651346342205,1000,830,0.83,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\NMF\W\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\NMF\W\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\NMF\W\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,0.0,NMF,W,0.0,True,nndsvd,True,False
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_H_7,7,1,0.9812,0.00889943818451478,0.953,0.022248595461286994,0.9882499999999999,0.005562148865321736,0.9538902593493154,0.022222870585895473,0.9706250000000001,0.01390537216330437,1000,953,0.953,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\ONMF\H\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\ONMF\H\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\ONMF\H\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,0.0,ONMF,H,0.05,False,nndsvd,True,False
SNR_0db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_W_7,7,1,0.9336,0.014099645385611686,0.834,0.03524911346402911,0.9584999999999999,0.008812278366007295,0.8384170943315062,0.03788103627837877,0.89625,0.02203069591501821,1000,834,0.834,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\ONMF\W\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\ONMF\W\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_0db\ONMF\W\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,0.0,ONMF,W,0.05,False,nndsvd,True,False
SNR_-5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H_9-8-7,9-8-7,3,0.9756,0.00887693640846883,0.9390000000000001,0.022192341021172204,0.98475,0.005548085255293109,0.9403765163934615,0.02107210034662324,0.961875,0.01387021313823265,1000,939,0.939,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\DeepONMF\H\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\DeepONMF\H\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\DeepONMF\H\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-5.0,DeepONMF,H,0.05,False,nndsvd,True,False
SNR_-5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_W_9-8-7,9-8-7,3,0.9019999999999999,0.014000000000000004,0.755,0.035000000000000024,0.93875,0.008749999999999996,0.7631814123142246,0.03188497052644243,0.846875,0.021874999999999974,1000,755,0.755,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\DeepONMF\W\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\DeepONMF\W\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\DeepONMF\W\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-5.0,DeepONMF,W,0.05,False,nndsvd,True,False
