base,clasificador,protocolo_ujanet,representacion,distribucion,numero_capas,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,predicciones,aciertos,exactitud_directa,ruta_matriz_png,ruta_matriz_conteos,ruta_predicciones,protocolo_prueba,snr_db,metodo_factorizacion,matriz_entrada,penalizacion_ortogonal,sin_regularizacion,inicializacion_factorizacion,factorizacion_por_senal,diccionario_comun_por_fold
SNR_-5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,NMF_H_7,7,1,0.9752000000000001,0.005019960159204518,0.938,0.012549900398011127,0.9845,0.0031374750995027917,0.938995152817316,0.011558803511535612,0.96125,0.007843687748756954,1000,938,0.938,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\NMF\H\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\NMF\H\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\NMF\H\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-5.0,NMF,H,0.0,True,nndsvd,True,False
SNR_-5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,NMF_W_7,7,1,0.9059999999999999,0.013564659966250512,0.765,0.03391164991562633,0.9412499999999999,0.0084779124789066,0.7729255188694176,0.03079624838411253,0.853125,0.02119478119726645,1000,765,0.765,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\NMF\W\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\NMF\W\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\NMF\W\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-5.0,NMF,W,0.0,True,nndsvd,True,False
SNR_-5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_H_7,7,1,0.9732000000000001,0.0072938330115242195,0.933,0.01823458252881048,0.98325,0.0045586456322025855,0.9342143056602895,0.017636272165269536,0.9581250000000001,0.011396614080506559,1000,933,0.933,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\ONMF\H\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\ONMF\H\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\ONMF\H\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-5.0,ONMF,H,0.05,False,nndsvd,True,False
SNR_-5db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_W_7,7,1,0.9052,0.006723094525588702,0.7630000000000001,0.016807736313971592,0.9407500000000001,0.004201934078492855,0.7684162500536988,0.015360532234243728,0.8518749999999999,0.010504835196232232,1000,763,0.763,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\ONMF\W\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\ONMF\W\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-5db\ONMF\W\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-5.0,ONMF,W,0.05,False,nndsvd,True,False
SNR_-8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_H_9-8-7,9-8-7,3,0.9724,0.010620734437881436,0.9309999999999998,0.026551836094703456,0.98275,0.006637959023675798,0.9318342252043479,0.026491354538616372,0.9568750000000001,0.016594897559189702,1000,931,0.931,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\DeepONMF\H\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\DeepONMF\H\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\DeepONMF\H\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-8.0,DeepONMF,H,0.05,False,nndsvd,True,False
SNR_-8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,DeepONMF_W_9-8-7,9-8-7,3,0.8768,0.01825376673456743,0.6920000000000001,0.045634416836418536,0.923,0.011408604209104634,0.6982014192416417,0.04950911987390807,0.8074999999999999,0.028521510522761584,1000,692,0.692,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\DeepONMF\W\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\DeepONMF\W\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\DeepONMF\W\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-8.0,DeepONMF,W,0.05,False,nndsvd,True,False
SNR_-8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,NMF_H_7,7,1,0.9720000000000001,0.008602325267042635,0.9299999999999999,0.0215058131676066,0.9824999999999999,0.005376453291901688,0.9315892939673727,0.021872321889700935,0.95625,0.013441133229754225,1000,930,0.93,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\NMF\H\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\NMF\H\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\NMF\H\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-8.0,NMF,H,0.0,True,nndsvd,True,False
SNR_-8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,NMF_W_7,7,1,0.8803999999999998,0.007924645102463549,0.701,0.019811612756158944,0.9252499999999999,0.004952903189039707,0.7178694524431004,0.038357653311520586,0.813125,0.01238225797259936,1000,701,0.701,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\NMF\W\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\NMF\W\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\NMF\W\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-8.0,NMF,W,0.0,True,nndsvd,True,False
SNR_-8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_H_7,7,1,0.974,0.005830951894845372,0.9349999999999999,0.014577379737113273,0.98375,0.003644344934278321,0.9354154417688765,0.014559218049293634,0.959375,0.009110862335695778,1000,935,0.935,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\ONMF\H\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\ONMF\H\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\ONMF\H\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-8.0,ONMF,H,0.05,False,nndsvd,True,False
SNR_-8db,UjaNet,ultima_juan_ujanet_multiclase_v3_nndsvd_auditado,ONMF_W_7,7,1,0.876,0.009380831519646885,0.6900000000000001,0.023452078799117138,0.9225,0.005863019699779263,0.6947448265031202,0.031121003294272205,0.80625,0.014657549249448218,1000,690,0.69,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\ONMF\W\matriz_confusion_agregada\matriz_confusion.png,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\ONMF\W\matriz_confusion_agregada\matriz_confusion_conteos.csv,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\06_prueba_snr_tres_metodos\evaluacion_ujanet\SNR_-8db\ONMF\W\matriz_confusion_agregada\predicciones_agregadas.csv,prueba_snr_tres_metodos_v1,-8.0,ONMF,W,0.05,False,nndsvd,True,False
