,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,35,1,0,2,2
real_AS,0,33,5,1,1
real_MR,0,2,31,7,0
real_MS,2,1,2,33,2
real_MVP,6,2,2,2,28
