comparación,distancia
N-AS,0.3346112059625258
N-MR,0.5544372915631962
N-MS,0.3435835232769462
N-MVP,0.432976997953309
AS-MR,0.2198260856006704
AS-MS,0.008972317314420386
AS-MVP,0.09836579199078321
MR-MS,0.21085376828625002
MR-MVP,0.1214602936098872
MS-MVP,0.08939347467636283
