Número de característica,N,AS,MR,MS,MVP,p-valor
SBV 1,0.023585 ± 0.086251,0.033817 ± 0.082748,0.021737 ± 0.086739,0.021103 ± 0.086897,0.019632 ± 0.087244,1.1087626382252997e-19
SBV 2,0.020507 ± 0.087041,0.027031 ± 0.085226,0.028037 ± 0.084898,0.020416 ± 0.087062,0.018753 ± 0.087439,4.336313979864401e-27
SBV 3,0.019144 ± 0.087353,0.021549 ± 0.086787,0.021115 ± 0.086894,0.018728 ± 0.087444,0.023397 ± 0.086303,5.7747892845432353e-08
SBV 4,0.018854 ± 0.087417,0.019380 ± 0.087301,0.020265 ± 0.087098,0.018989 ± 0.087387,0.020708 ± 0.086993,3.5394437734722867e-06
SBV 5,0.019022 ± 0.087380,0.019494 ± 0.087275,0.028722 ± 0.084667,0.020176 ± 0.087119,0.018256 ± 0.087545,2.293725580589664e-15
SBV 6,0.020939 ± 0.086937,0.020566 ± 0.087027,0.019451 ± 0.087285,0.026009 ± 0.085546,0.021108 ± 0.086896,1.1020328378581165e-11
SBV 7,0.019253 ± 0.087329,0.031405 ± 0.083701,0.025265 ± 0.085770,0.020293 ± 0.087091,0.031232 ± 0.083766,5.687032484753401e-22
