indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,N,New_N_001.wav,18-9,2,0.13216636325487513,126x9,9x212,18,0.03998735437319855,0.36438261113840825,0.01818959999945946,9,0.22413237148212628,0.2505440163190895,0.005592800000158604
1,N,New_N_002.wav,18-9,2,0.12517469825734412,126x9,9x212,18,0.03791496488985101,0.35803919615990365,0.014708900002005976,9,0.24880299421080357,0.1665761840621065,0.005525099993974436
2,N,New_N_003.wav,18-9,2,0.12938948658020782,126x9,9x212,18,0.04822881133559267,0.35985153378891993,0.016998200000671204,9,0.25858806495588776,0.20529383824670333,0.005471100004797336
3,N,New_N_004.wav,18-9,2,0.14527895649136394,126x9,9x212,18,0.048519029702798096,0.3843665973815906,0.015099799995368812,9,0.27746291513770394,0.21510179090927056,0.00578010000026552
4,N,New_N_005.wav,18-9,2,0.1409742988818905,126x9,9x212,18,0.04924518092098266,0.3946543657985263,0.01581129999976838,9,0.3075478166902295,0.25116393409104115,0.004844900002353825
5,N,New_N_006.wav,18-9,2,0.13469286434308647,126x9,9x212,18,0.048862255608477644,0.38525265366813605,0.015531200006080326,9,0.3034283557631354,0.2354093727846799,0.0059338999999454245
6,N,New_N_007.wav,18-9,2,0.1284153159643945,126x9,9x212,18,0.04426350701322152,0.3783608609660023,0.015197699998680037,9,0.28179149623506344,0.21214850133930238,0.005269499997666571
7,N,New_N_008.wav,18-9,2,0.13198417601702989,126x9,9x212,18,0.04866160853406759,0.36640732883790994,0.016219600001932122,9,0.32406321308825314,0.2043491632827472,0.004870199998549651
8,N,New_N_009.wav,18-9,2,0.13949499296534537,126x9,9x212,18,0.0445595046083653,0.4149437058469773,0.015401299999211915,9,0.29030919364447344,0.2224603088971081,0.005592000001342967
9,N,New_N_010.wav,18-9,2,0.13078170542560394,126x9,9x212,18,0.04751037620187488,0.3507195818922024,0.01580660000036005,9,0.27002221684168265,0.1952217462599027,0.004905299996607937
10,N,New_N_011.wav,18-9,2,0.1292878246840191,126x9,9x212,18,0.04193795380724595,0.3865719903518112,0.015723100004834123,9,0.2964002855513466,0.1858162242849074,0.004926499997964129
11,N,New_N_012.wav,18-9,2,0.140112291655038,126x9,9x212,18,0.05090480974698423,0.3384427297390087,0.015469099998881575,9,0.22939683556684257,0.12597428657097032,0.005404700001236051
12,N,New_N_013.wav,18-9,2,0.1551187375233027,126x9,9x212,18,0.0494401694119791,0.3904557530558613,0.016011400002753362,9,0.3310070719710135,0.19958191518597815,0.004868100004387088
13,N,New_N_014.wav,18-9,2,0.14382596642045273,126x9,9x212,18,0.04184514856673872,0.36954289142830377,0.015730199993413407,9,0.35459819065300546,0.20813339680662596,0.005012100002204534
14,N,New_N_015.wav,18-9,2,0.1286177679644625,126x9,9x212,18,0.05217396742302461,0.3616887893472706,0.015083700003742706,9,0.22600782461443267,0.1981900067064746,0.005196399994019885
15,N,New_N_016.wav,18-9,2,0.1345162693545193,126x9,9x212,18,0.05391326514781169,0.39442945928723416,0.015785799994773697,9,0.3434099846602273,0.22856845180284305,0.0048743999941507354
16,N,New_N_017.wav,18-9,2,0.14358479350214168,126x9,9x212,18,0.04842799292026763,0.3803222814589572,0.01615029999811668,9,0.28471526411914483,0.1928140681090957,0.0060792999938712455
17,N,New_N_018.wav,18-9,2,0.12715915835825725,126x9,9x212,18,0.0446258282803672,0.3703716479811926,0.015924599996651523,9,0.2253160314340316,0.16448850874190174,0.00489259999449132
18,N,New_N_019.wav,18-9,2,0.14991945662547543,126x9,9x212,18,0.046334662778477316,0.3733778348034947,0.01569520000339253,9,0.3219238333974195,0.24172429049412056,0.004926400004478637
19,N,New_N_020.wav,18-9,2,0.14324590724430272,126x9,9x212,18,0.05000230342571725,0.36118555098481436,0.0147514999989653,9,0.31434714311426104,0.1502938953129889,0.005682499999238644
20,N,New_N_021.wav,18-9,2,0.12520632228396708,126x9,9x212,18,0.042151671831534024,0.3750635358155912,0.016020600000047125,9,0.2512344543399475,0.20629083451085461,0.004986700005247258
21,N,New_N_022.wav,18-9,2,0.12562675874386184,126x9,9x212,18,0.04078495761308348,0.3719644770279469,0.015843900000618305,9,0.29422345042382675,0.19166164990064255,0.0066643999962252565
22,N,New_N_023.wav,18-9,2,0.1335780261989935,126x9,9x212,18,0.05083064448479143,0.3708455409991915,0.015422500000568107,9,0.29716160157815463,0.16239905373894514,0.004882299996097572
23,N,New_N_024.wav,18-9,2,0.13809481074722185,126x9,9x212,18,0.04751049767015737,0.3693225953597711,0.01573630000348203,9,0.2537254972054705,0.18755286263788623,0.004910799994831905
24,N,New_N_025.wav,18-9,2,0.1463932479967786,126x9,9x212,18,0.052804975985292574,0.3548978797382032,0.015576199999486562,9,0.320177000239631,0.19165998736290224,0.006260100002691615
25,N,New_N_026.wav,18-9,2,0.15843426739083502,126x9,9x212,18,0.046239450833058214,0.33463247202869567,0.01573899999493733,9,0.2979755635047054,0.1555179750685221,0.005873100002645515
26,N,New_N_027.wav,18-9,2,0.12698087852627782,126x9,9x212,18,0.046575381305833316,0.39518665564744665,0.016746499997680075,9,0.29430941837969776,0.19672605838329163,0.005162900000868831
27,N,New_N_028.wav,18-9,2,0.12870408338241016,126x9,9x212,18,0.049432572581549,0.4170066347821204,0.016049600002588704,9,0.25949889086409705,0.22429670162336773,0.005821899998409208
28,N,New_N_029.wav,18-9,2,0.1419558611322511,126x9,9x212,18,0.05102437655120144,0.36661073310109443,0.017637099997955374,9,0.2959242305189961,0.19608085794565555,0.004881200002273545
29,N,New_N_030.wav,18-9,2,0.13493892228398846,126x9,9x212,18,0.05007949781327322,0.36342159917607075,0.015463200004887767,9,0.2865826702346924,0.17496249448071366,0.005024499994760845
30,N,New_N_031.wav,18-9,2,0.13933326173261382,126x9,9x212,18,0.045959144864789726,0.38714354631125875,0.015556300000753254,9,0.3522805363935908,0.2267832986024666,0.005985399999190122
31,N,New_N_032.wav,18-9,2,0.14355759466595966,126x9,9x212,18,0.042000009751744574,0.345283386597479,0.015626799999154173,9,0.2329339623455639,0.18505182659021077,0.004974800001946278
32,N,New_N_033.wav,18-9,2,0.12609968161369645,126x9,9x212,18,0.04336652644608,0.37726558494462564,0.01617120000446448,9,0.274688101364103,0.18644391740272825,0.006503700002213009
33,N,New_N_034.wav,18-9,2,0.1391187413916478,126x9,9x212,18,0.050047244413276654,0.3621065084452091,0.015403599994897377,9,0.2987566473727015,0.1833561379675111,0.0048859000016818754
34,N,New_N_035.wav,18-9,2,0.12431093282311251,126x9,9x212,18,0.04788035915127875,0.3791398223246034,0.016746300003433134,9,0.26890261943610577,0.15410501112939715,0.0065084000016213395
35,N,New_N_036.wav,18-9,2,0.1293160041847255,126x9,9x212,18,0.04400816769873182,0.41397769676199264,0.019501300004776567,9,0.3010933442428197,0.20178952902161226,0.00498410000000149
36,N,New_N_037.wav,18-9,2,0.10666862726290106,126x9,9x212,18,0.03657153137849821,0.4559818528635556,0.015730200000689365,9,0.20286697649035224,0.19904540520337832,0.005272500005958136
37,N,New_N_038.wav,18-9,2,0.10484962252973037,126x9,9x212,18,0.030680092836140083,0.41565210925054247,0.015604500003973953,9,0.23209374737266306,0.1430155416063855,0.00534190000325907
38,N,New_N_039.wav,18-9,2,0.11101855053942009,126x9,9x212,18,0.034244586197271484,0.3955863482756344,0.02066460000060033,9,0.21984297375134537,0.125449606783157,0.005857000003743451
39,N,New_N_040.wav,18-9,2,0.0945988568400585,126x9,9x212,18,0.03224828914645377,0.404337445171473,0.015749500002129935,9,0.19939258002879837,0.1384900198369398,0.00553379999473691
40,N,New_N_041.wav,18-9,2,0.1279189990474483,126x9,9x212,18,0.03163051548777919,0.39907130851717026,0.016461400002299342,9,0.29605353093375714,0.23301753304956652,0.005598299998382572
41,N,New_N_042.wav,18-9,2,0.11973887864601017,126x9,9x212,18,0.04245865404527319,0.40402392376982593,0.015708799997810274,9,0.2776317193912175,0.22121399281733561,0.008043199995881878
42,N,New_N_043.wav,18-9,2,0.12559135321669085,126x9,9x212,18,0.03358299627985588,0.4275535117945469,0.015679000003729016,9,0.23646747353121284,0.15331991821166585,0.005082700001366902
43,N,New_N_044.wav,18-9,2,0.11292495342036471,126x9,9x212,18,0.03022057341122715,0.4484831338388209,0.01606530000572093,9,0.22124779855371482,0.1519025734831988,0.005505699999048375
44,N,New_N_045.wav,18-9,2,0.12753129479868316,126x9,9x212,18,0.03520225001445673,0.43017572563852996,0.015650100001948886,9,0.28547359814292167,0.21643512437709322,0.005681299997377209
45,N,New_N_046.wav,18-9,2,0.12160481897561506,126x9,9x212,18,0.03660172240182473,0.4084493590653422,0.017126200000348035,9,0.2728678007387931,0.13416905897278278,0.005403499999374617
46,N,New_N_047.wav,18-9,2,0.11793602851840909,126x9,9x212,18,0.03378584393006882,0.41918627180553714,0.017242699999769684,9,0.25890375294880047,0.2408750173106849,0.005072699997981545
47,N,New_N_048.wav,18-9,2,0.13542495756649142,126x9,9x212,18,0.04246030252811497,0.4210853273944445,0.015705999998317566,9,0.3005684893220327,0.18525863818277472,0.006036499995389022
48,N,New_N_049.wav,18-9,2,0.11469200095692182,126x9,9x212,18,0.03793868121106027,0.4173262926034642,0.015300400002161041,9,0.24415858873052756,0.15631726426259374,0.004865399998379871
49,N,New_N_050.wav,18-9,2,0.11233741764979988,126x9,9x212,18,0.035012357347385004,0.412344937421409,0.015455100001418032,9,0.2261335975096145,0.16111498298920346,0.0052856999973300844
50,N,New_N_051.wav,18-9,2,0.1103497933688959,126x9,9x212,18,0.033367804709034,0.42259844542112646,0.01630670000304235,9,0.22322763496066625,0.1595980862272303,0.0055262999958358705
