distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
10-6-4,KNN,DeepONMF_H3,0.959,0.01516575088810312,0.9737500000000001,0.016177723881930964,0.9,0.03952847075210477,0.9750387149596849,0.00959081512037634,0.936875,0.021355436954087367
10-6-4,KNN,DeepONMF_W,0.8949999999999999,0.014999999999999966,0.9075,0.022273162101506847,0.845,0.05419870847169702,0.9593231478407291,0.013306712412913316,0.87625,0.02302766678367565
10-6-4,SVM,DeepONMF_H3,0.9709999999999999,0.015165750888103112,0.9800000000000001,0.01118033988749898,0.9349999999999999,0.03354101966249681,0.9836788472255394,0.008456923005965792,0.9574999999999999,0.021830311495716213
10-6-4,SVM,DeepONMF_W,0.9099999999999999,0.007905694150420955,0.9025000000000001,0.011353688827865594,0.9400000000000001,0.022360679774997828,0.9837072251702793,0.005928070653360006,0.92125,0.009732757188998372
10-6-4,UjaNet,DeepONMF_H3,0.9869999999999999,0.007582875444051548,0.99125,0.007126096406869612,0.97,0.020916500663351923,0.9925072792918705,0.005209389573057956,0.9806250000000001,0.01156672220207609
10-6-4,UjaNet,DeepONMF_W,0.958,0.021389249636207405,0.97625,0.020444284042245162,0.885,0.05755432216610673,0.9715124551797173,0.014256924479460205,0.930625,0.03197594310571624
