clase,error_relativo_final,iteraciones,semilla
N,0.10286817142168547,120,42
AS,0.19083293684472194,120,42
MR,0.19641787051916462,120,42
MS,0.13277753961555575,120,42
MVP,0.16266641247828983,120,42
