clasificador,Score_H3_OOF,Score_W_OOF,diferencia_Score_H3_menos_W,Accuracy_H3_OOF,Accuracy_W_OOF,diferencia_Accuracy_H3_menos_W,McNemar_solo_H3_correcto,McNemar_solo_W_correcto,McNemar_discordantes,McNemar_p_exacto,IC95_diferencia_Score_inferior,IC95_diferencia_Score_superior,IC95_diferencia_Accuracy_inferior,IC95_diferencia_Accuracy_superior
KNN,0.8431249999999999,0.913125,-0.07000000000000006,0.926,0.927,-0.0010000000000000009,49,50,99,1.0,-0.10453358043478468,-0.03448022034576175,-0.020000000000000018,0.017000000000000015
SVM,0.950625,0.9412499999999999,0.009375000000000133,0.966,0.936,0.029999999999999916,50,20,70,0.00044028500651396835,-0.012589144401362173,0.0318411264907816,0.015000000000000013,0.04699999999999993
UjaNet,0.983125,0.944375,0.03875000000000006,0.988,0.965,0.02300000000000002,29,6,35,0.0001168418675661087,0.015662823909679168,0.060827593970840046,0.01100000000000001,0.03400000000000003
