,N,AS,MR,MS,MVP
N,97.5,0.0,1.5,0.0,1.0
AS,0.0,96.5,3.0,0.5,0.0
MR,0.0,3.0,94.5,1.5,1.0
MS,0.0,1.0,2.0,94.0,3.0
MVP,3.0,4.0,3.0,2.0,88.0
