,N,AS,MR,MS,MVP
N,97.5,0.0,0.0,0.5,2.0
AS,0.0,96.5,2.5,0.0,1.0
MR,4.0,5.0,87.5,2.5,1.0
MS,0.0,1.0,0.0,94.5,4.5
MVP,3.0,2.5,2.0,2.5,90.0
