,N,AS,MR,MS,MVP
N,98.5,0.0,0.5,0.0,1.0
AS,0.0,97.0,2.5,0.0,0.5
MR,1.5,2.0,94.0,1.0,1.5
MS,0.0,0.0,2.5,93.0,4.5
MVP,1.0,2.0,0.5,2.0,94.5
