distribucion,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
15-10-5,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
15-10-5,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,3,18,2,2,0.8400000000000001,0.6,0.9,0.6,0.75,5
15-10-5,KNN,DeepONMF_W,1,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
15-10-5,KNN,DeepONMF_W,2,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
15-10-5,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
15-10-5,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,3,18,2,2,0.8400000000000001,0.6,0.9,0.6,0.75,5
15-10-5,SVM,DeepONMF_W,1,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
15-10-5,SVM,DeepONMF_W,2,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
15-10-5,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
15-10-5,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.05,0.5,5
15-10-5,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,2,17,3,3,0.76,0.4,0.85,0.16666666666666666,0.625,5
15-10-5,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,2,17,3,3,0.76,0.4,0.85,0.16666666666666666,0.625,5
