,N,AS,MR,MS,MVP
N,97.5,0.0,1.5,0.0,1.0
AS,0.5,96.5,2.0,1.0,0.0
MR,0.0,2.0,95.5,2.0,0.5
MS,0.0,1.5,1.0,95.0,2.5
MVP,1.0,3.5000000000000004,1.5,2.5,91.5
