epoca,loss_train,loss_val
1,1.3236266735352968,0.6424132585525513
2,0.8915182493234936,0.5404672026634216
3,0.6048584603949597,0.44712817668914795
4,0.5753940759520781,0.37462788820266724
5,0.4361651143745372,0.3477838933467865
6,0.38211502468115405,0.30894190073013306
7,0.39813534738986117,0.2814180552959442
8,0.3239645370723386,0.28834113478660583
9,0.3045738855082738,0.2850979268550873
10,0.25052165798842907,0.2764202952384949
11,0.23922103020901742,0.3300825357437134
12,0.25109482037001535,0.26137250661849976
13,0.2183131734154334,0.2778762876987457
14,0.19847759913260998,0.23384161293506622
15,0.1993965670760525,0.22061899304389954
16,0.15850097730167603,0.24975408613681793
17,0.11962462662670173,0.31281307339668274
18,0.13444039933873633,0.2816937565803528
19,0.08954120689610902,0.3271152079105377
20,0.13356412413505545,0.2932274639606476
21,0.11166616031091268,0.2919101119041443
22,0.09700923512297634,0.24987433850765228
23,0.08511631543699064,0.3280447721481323
24,0.0691914711558064,0.3185829520225525
25,0.07141915801453012,0.264807790517807
