clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,40,159,1,0,0.995,1.0,0.99375,0.975609756097561,0.996875,40
AS,40,160,0,0,1.0,1.0,1.0,1.0,1.0,40
MR,39,160,0,1,0.995,0.975,1.0,1.0,0.9875,40
MS,40,159,1,0,0.995,1.0,0.99375,0.975609756097561,0.996875,40
MVP,39,160,0,1,0.995,0.975,1.0,1.0,0.9875,40
PROMEDIO_MACRO,198,798,2,2,0.9960000000000001,0.99,0.9974999999999999,0.9902439024390244,0.99375,200
