,N,AS,MR,MS,MVP
N,87.5,0.5,0.0,6.0,6.0
AS,0.0,85.0,5.0,8.0,2.0
MR,0.5,10.0,75.0,8.0,6.5
MS,8.0,7.000000000000001,5.0,69.0,11.0
MVP,11.5,5.5,8.5,9.5,65.0
