,N,AS,MR,MS,MVP
N,89.0,1.0,0.0,4.0,6.0
AS,0.0,80.5,7.5,11.5,0.5
MR,0.5,15.5,70.0,9.5,4.5
MS,7.5,11.0,3.0,73.5,5.0
MVP,19.5,8.0,15.5,19.5,37.5
