clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,37,145,15,3,0.91,0.925,0.90625,0.7115384615384616,0.915625,40
AS,31,124,36,9,0.775,0.775,0.775,0.4626865671641791,0.775,40
MR,22,156,4,18,0.89,0.55,0.975,0.8461538461538461,0.7625,40
MS,11,146,14,29,0.785,0.275,0.9125,0.44,0.59375,40
MVP,21,151,9,19,0.86,0.525,0.94375,0.7,0.734375,40
PROMEDIO_MACRO,122,722,78,78,0.8440000000000001,0.61,0.9025000000000001,0.6320757749712973,0.75625,200
