,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,39,0,1,0,0
real_AS,0,33,6,0,1
real_MR,2,2,31,0,5
real_MS,0,1,6,32,1
real_MVP,2,2,8,2,26
