clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,33,158,2,7,0.955,0.825,0.9875,0.9428571428571428,0.90625,40
AS,37,157,3,3,0.97,0.925,0.98125,0.925,0.953125,40
MR,36,157,3,4,0.965,0.9,0.98125,0.9230769230769231,0.940625,40
MS,37,157,3,3,0.97,0.925,0.98125,0.925,0.953125,40
MVP,35,149,11,5,0.92,0.875,0.93125,0.7608695652173914,0.903125,40
PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.89,0.9725000000000001,0.8953607262302915,0.93125,200
