metodo,silhouette_features,davies_bouldin_features,silhouette_tsne,davies_bouldin_tsne,muestras,rasgos_originales,rasgos_entrada_tsne,perplexity
CNN,0.3317822408060907,1.532654460859146,0.2258976399898529,2.014266937228267,1000,100,50,30
DWT,0.0725927277563295,3.7697777860991573,0.11090885102748871,6.564077217299766,1000,18,18,30
MFCC,0.14677668859896967,4.344464341138447,0.14457730948925018,5.527732597908822,1000,13,13,30
Deep ONMF,0.28094384869576766,1.378301809973426,0.26017117500305176,1.375568783086334,1000,5,5,30
STFT,0.05053161745307175,3.679580722186695,0.13189923763275146,7.878604523354494,1000,252,50,30
