,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,38,0,0,2,0
real_AS,0,19,10,5,6
real_MR,0,5,29,3,3
real_MS,5,4,1,27,3
real_MVP,8,3,1,3,25
