,N,AS,MR,MS,MVP
N,77.0,0.0,18.0,0.0,5.0
AS,0.0,69.0,27.0,0.0,4.0
MR,0.0,2.5,88.5,1.0,8.0
MS,0.0,0.0,25.0,63.0,12.0
MVP,9.5,5.0,18.5,2.5,64.5
