distribucion,numero_capas,representacion,modo_rapido
28-18-12-8,4,DeepONMF_H4,False
28-10,2,DeepONMF_H2,False
28-17-10,3,DeepONMF_H3,False
28-20-14-10,4,DeepONMF_H4,False
26-2,2,DeepONMF_H2,False
26-7-2,3,DeepONMF_H3,False
26-11-5-2,4,DeepONMF_H4,False
26-4,2,DeepONMF_H2,False
26-10-4,3,DeepONMF_H3,False
26-14-7-4,4,DeepONMF_H4,False
26-6,2,DeepONMF_H2,False
26-12-6,3,DeepONMF_H3,False
26-16-10-6,4,DeepONMF_H4,False
26-8,2,DeepONMF_H2,False
26-14-8,3,DeepONMF_H3,False
26-18-12-8,4,DeepONMF_H4,False
26-10,2,DeepONMF_H2,False
26-16-10,3,DeepONMF_H3,False
26-19-14-10,4,DeepONMF_H4,False
24-2,2,DeepONMF_H2,False
24-7-2,3,DeepONMF_H3,False
24-10-5-2,4,DeepONMF_H4,False
24-4,2,DeepONMF_H2,False
24-10-4,3,DeepONMF_H3,False
24-13-7-4,4,DeepONMF_H4,False
24-6,2,DeepONMF_H2,False
24-12-6,3,DeepONMF_H3,False
24-15-10-6,4,DeepONMF_H4,False
24-8,2,DeepONMF_H2,False
24-14-8,3,DeepONMF_H3,False
24-17-12-8,4,DeepONMF_H4,False
24-10,2,DeepONMF_H2,False
24-15-10,3,DeepONMF_H3,False
24-18-13-10,4,DeepONMF_H4,False
22-2,2,DeepONMF_H2,False
22-7-2,3,DeepONMF_H3,False
22-10-4-2,4,DeepONMF_H4,False
22-4,2,DeepONMF_H2,False
22-9-4,3,DeepONMF_H3,False
22-12-7-4,4,DeepONMF_H4,False
22-6,2,DeepONMF_H2,False
22-11-6,3,DeepONMF_H3,False
22-14-9-6,4,DeepONMF_H4,False
22-8,2,DeepONMF_H2,False
22-13-8,3,DeepONMF_H3,False
22-16-11-8,4,DeepONMF_H4,False
22-10,2,DeepONMF_H2,False
22-15-10,3,DeepONMF_H3,False
22-17-13-10,4,DeepONMF_H4,False
20-2,2,DeepONMF_H2,False
