,N,AS,MR,MS,MVP
N,98.0,0.0,0.0,0.0,2.0
AS,0.0,94.0,4.5,0.5,1.0
MR,2.5,4.0,89.0,2.5,2.0
MS,1.0,1.0,1.5,93.0,3.5000000000000004
MVP,3.0,3.0,3.5000000000000004,3.0,87.5
