distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
11-7-4,3,UjaNet,DeepONMF_W,0.9559999999999998,0.0065192024052026,0.97125,0.0143885805415266,0.8949999999999999,0.0447213595499957,0.973879776315038,0.0106357479562416,0.933125,0.0169154607534054
11-8,2,KNN,DeepONMF_H2,0.939,0.0181659021245849,0.975,0.0132582521472477,0.795,0.0817771361689806,0.9503827469608614,0.0188695124085778,0.885,0.0404684483579491
11-8,2,KNN,DeepONMF_W,0.873,0.0160468065358812,0.89625,0.0136930639376291,0.78,0.0647108955277239,0.9424072633723068,0.0158240597916036,0.838125,0.0323554477638619
11-8,2,SVM,DeepONMF_H2,0.968,0.0148323969741913,0.975,0.0116926793336685,0.94,0.0335410196624968,0.9848494271521852,0.0084549411101356,0.9575,0.021263782295255
11-8,2,SVM,DeepONMF_W,0.916,0.0096176920308356,0.91125,0.0120221150385445,0.935,0.0223606797749978,0.9825188981677012,0.0058027879089312,0.923125,0.0113966140805064
11-8,2,UjaNet,DeepONMF_H2,0.996,0.0022360679774998,0.99875,0.0027950849718747,0.985,0.0136930639376291,0.996273291925466,0.003402003462765,0.991875,0.0060917464655055
11-8,2,UjaNet,DeepONMF_W,0.978,0.0075828754440515,0.985,0.0094785943050644,0.95,0.0353553390593273,0.987561146051712,0.0087721090942671,0.9675,0.0160261017561976
11-8-3,3,KNN,DeepONMF_H3,0.958,0.0083666002653407,0.985,0.0055901699437495,0.85,0.0499999999999999,0.9634651783025768,0.0115393322936779,0.9175,0.0235518046017709
11-8-3,3,KNN,DeepONMF_W,0.906,0.0155724115023974,0.9525,0.0083852549156242,0.72,0.0715891053163817,0.9317656159500248,0.0161842498374597,0.83625,0.0358763065964155
11-8-3,3,SVM,DeepONMF_H3,0.972,0.0144048602908879,0.9825,0.0102697979532218,0.93,0.0447213595499957,0.9825603498422664,0.0109559178880632,0.95625,0.0249021522664206
11-8-3,3,SVM,DeepONMF_W,0.902,0.0125499003980111,0.89,0.0162980060130066,0.95,0.0176776695296636,0.9861842991106544,0.0048123281862191,0.92,0.0102697979532218
11-8-3,3,UjaNet,DeepONMF_H3,0.992,0.0067082039324993,0.99375,0.0062499999999999,0.985,0.0136930639376291,0.996242040704715,0.0034306800666336,0.989375,0.0087276500273555
11-8-3,3,UjaNet,DeepONMF_W,0.97,0.0122474487139159,0.98375,0.0129602758458298,0.915,0.0454147553114623,0.9789787888263496,0.0110990870056199,0.949375,0.0222512288986474
11-8-4,3,KNN,DeepONMF_H3,0.9549999999999998,0.0127475487839819,0.985,0.0083852549156242,0.835,0.0379143772202577,0.9598357774820802,0.0091028321026555,0.91,0.0216956936971372
11-8-4,3,KNN,DeepONMF_W,0.882,0.0246475150877324,0.92875,0.0121834929310111,0.6950000000000001,0.1151086443322134,0.9247256679100052,0.026207677349304,0.811875,0.0576390980585227
11-8-4,3,SVM,DeepONMF_H3,0.97,0.0169558249578131,0.97875,0.0129602758458298,0.935,0.0379143772202577,0.9836627314605346,0.009560420749002,0.956875,0.024346938975978
11-8-4,3,SVM,DeepONMF_W,0.907,0.0083666002653407,0.89875,0.0111803398874989,0.94,0.0223606797749978,0.9836333759142633,0.0059626439926343,0.919375,0.0104582503316759
11-8-4,3,UjaNet,DeepONMF_H3,0.988,0.0075828754440515,0.9925,0.0052291251658379,0.97,0.0209165006633519,0.9925076663150904,0.0052083493365464,0.98125,0.0123031373031434
11-8-4,3,UjaNet,DeepONMF_W,0.9559999999999998,0.0134164078649987,0.96375,0.0135496771179242,0.925,0.0353553390593273,0.9809695276286144,0.0088089144746374,0.944375,0.0194404137687447
11-8-5,3,KNN,DeepONMF_H3,0.953,0.0185741756210067,0.985,0.0083852549156242,0.825,0.0770551750371122,0.9577043591265582,0.0180486285370231,0.905,0.0399951168894404
11-8-5,3,KNN,DeepONMF_W,0.8800000000000001,0.0183711730708738,0.91625,0.0174553000547112,0.735,0.0945383520059452,0.933103469700535,0.0218888137785148,0.8256249999999999,0.0444365769946335
11-8-5,3,SVM,DeepONMF_H3,0.973,0.0152479506819769,0.98125,0.0098821176880262,0.94,0.0454147553114623,0.9849911562012164,0.0113048415906403,0.960625,0.0260145692353342
11-8-5,3,SVM,DeepONMF_W,0.91,0.0093541434669348,0.9025,0.0113536888278655,0.94,0.0223606797749978,0.9836895776822876,0.0060212915540948,0.92125,0.011566722202076
11-8-5,3,UjaNet,DeepONMF_H3,0.988,0.0083666002653407,0.98875,0.0081490030065033,0.985,0.0223606797749979,0.996241642599992,0.0055735621364422,0.986875,0.0123822579725993
11-8-5,3,UjaNet,DeepONMF_W,0.9549999999999998,0.0070710678118654,0.96625,0.0094785943050643,0.91,0.0651920240520264,0.9775610996155594,0.0158554829242953,0.938125,0.0284186063609741
11-9,2,KNN,DeepONMF_H2,0.946,0.015165750888103,0.98,0.0111803398874989,0.8099999999999999,0.0762397534098845,0.954074225845196,0.0175974091851923,0.8949999999999999,0.0368166911875578
11-9,2,KNN,DeepONMF_W,0.876,0.0216217483104396,0.89875,0.0128086884574494,0.7849999999999999,0.0762397534098845,0.9437827770748086,0.0191066908965806,0.8418749999999999,0.0411978837441925
11-9,2,SVM,DeepONMF_H2,0.972,0.0160468065358812,0.98,0.0135496771179242,0.94,0.0285043856274784,0.9848969068214196,0.0072637006797851,0.96,0.0204203865658806
11-9,2,SVM,DeepONMF_W,0.913,0.0152479506819769,0.9125,0.0124999999999999,0.915,0.0418330013267037,0.977295119965758,0.0110124005058296,0.91375,0.023962861890851
11-9,2,UjaNet,DeepONMF_H2,0.997,0.0027386127875258,0.99625,0.0034232659844072,1.0,0.0,1.0,0.0,0.998125,0.0017116329922036
11-9,2,UjaNet,DeepONMF_W,0.979,0.0134164078649987,0.98875,0.0102697979532218,0.94,0.0379143772202577,0.9850919070720484,0.0093188863625772,0.964375,0.0217181879423675
12-10-7-4,4,KNN,DeepONMF_H4,0.953,0.0125499003980111,0.98125,0.0088388347648318,0.8400000000000001,0.0575543221661067,0.96099547103835,0.013490125394986,0.910625,0.0284357829151932
12-10-7-4,4,KNN,DeepONMF_W,0.901,0.0240831891575846,0.90625,0.0242061459137963,0.8800000000000001,0.0370809924354783,0.9679178597304848,0.0100037018710995,0.8931250000000001,0.0269185693341975
12-10-7-4,4,SVM,DeepONMF_H4,0.969,0.0119373363863133,0.98125,0.0098821176880262,0.92,0.0273861278752582,0.9800300865340515,0.0068209039492149,0.950625,0.0170305332417983
12-10-7-4,4,SVM,DeepONMF_W,0.927,0.0125499003980111,0.92375,0.0135496771179242,0.94,0.0223606797749978,0.9840331956420776,0.0059614788720408,0.931875,0.0142178914575965
12-10-7-4,4,UjaNet,DeepONMF_H4,0.984,0.0089442719099991,0.9925,0.0068465319688145,0.95,0.0353553390593273,0.9876227875046848,0.0086619340525252,0.97125,0.0180060753636098
12-10-7-4,4,UjaNet,DeepONMF_W,0.967,0.0090829510622925,0.9825,0.0142521928137392,0.905,0.0410791918128874,0.9765450811501666,0.0099547672753697,0.94375,0.0171163299220364
12-10-8-6-4,5,KNN,DeepONMF_H5,0.956,0.0198116127561589,0.97625,0.0161777238819309,0.875,0.0612372435695794,0.9691107978208844,0.0149284828510117,0.925625,0.0334681518387256
12-10-8-6-4,5,KNN,DeepONMF_W,0.906,0.0253475837112731,0.92,0.0243669858620224,0.85,0.053033008588991,0.960870643317818,0.0139809550620967,0.885,0.0329535658161601
12-10-8-6-4,5,SVM,DeepONMF_H5,0.97,0.0141421356237309,0.9775,0.0121834929310112,0.94,0.0285043856274784,0.9848808793032242,0.0072053449772005,0.95875,0.0188020111956141
12-10-8-6-4,5,SVM,DeepONMF_W,0.9190000000000002,0.0074161984870956,0.9125,0.0116926793336685,0.945,0.0209165006633518,0.9852134941975648,0.0054522230283025,0.92875,0.0080888619409654
