epoca,loss_train,loss_val
1,1.259207978060371,0.6236075758934021
2,0.7276788549987894,0.472752183675766
3,0.5210975349733704,0.4015046954154968
4,0.4423261543637828,0.36620932817459106
5,0.33626104440344007,0.3343937397003174
6,0.27178360497284876,0.3222363591194153
7,0.2144452842246545,0.3075149357318878
8,0.2173225919863111,0.3581148386001587
9,0.12936614272429756,0.3214229941368103
10,0.10478743045027122,0.37497803568840027
11,0.08925882782358185,0.3375410735607147
12,0.09260115540267802,0.2598315179347992
13,0.11093015191267784,0.29547742009162903
14,0.060524249328361625,0.28175488114356995
15,0.0675032939957179,0.24191699922084808
16,0.061560517942876015,0.29495787620544434
17,0.04529455919002526,0.33882007002830505
18,0.04676282771795645,0.4538334608078003
19,0.031194462571779456,0.42936092615127563
20,0.065451717397321,0.35541483759880066
21,0.04718806624786291,0.4559793174266815
22,0.04413486109029021,0.41292133927345276
23,0.047285420082181714,0.3769552707672119
24,0.015228777810797942,0.4484511911869049
25,0.036766695239120246,0.6319364905357361
