,N,AS,MR,MS,MVP
N,91.5,0.0,1.5,2.5,4.5
AS,0.0,94.0,5.0,0.0,1.0
MR,2.0,6.0,90.5,0.5,1.0
MS,0.0,0.5,7.000000000000001,87.5,5.0
MVP,3.0,7.000000000000001,12.0,3.0,75.0
