,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,34,0,0,1,5
real_AS,0,38,1,1,0
real_MR,0,4,30,4,2
real_MS,1,7,0,30,2
real_MVP,1,3,5,6,25
