distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
8-5,2,KNN,DeepONMF_H2,1,156,34,6,4,0.95,0.975,0.85,0.9629629629629629,0.9125
8-5,2,KNN,DeepONMF_H2,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
8-5,2,KNN,DeepONMF_H2,3,155,34,6,5,0.945,0.96875,0.85,0.9627329192546584,0.909375
8-5,2,KNN,DeepONMF_H2,4,153,35,5,7,0.94,0.95625,0.875,0.9683544303797469,0.915625
8-5,2,KNN,DeepONMF_H2,5,159,36,4,1,0.975,0.99375,0.9,0.9754601226993865,0.946875
8-5,2,KNN,DeepONMF_W,1,147,34,6,13,0.905,0.91875,0.85,0.9607843137254902,0.8843749999999999
8-5,2,KNN,DeepONMF_W,2,137,32,8,23,0.845,0.85625,0.8,0.9448275862068966,0.828125
8-5,2,KNN,DeepONMF_W,3,149,36,4,11,0.925,0.93125,0.9,0.9738562091503268,0.915625
8-5,2,KNN,DeepONMF_W,4,140,34,6,20,0.87,0.875,0.85,0.958904109589041,0.8625
8-5,2,KNN,DeepONMF_W,5,148,33,7,12,0.905,0.925,0.825,0.9548387096774194,0.875
8-5,2,SVM,DeepONMF_H2,1,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
8-5,2,SVM,DeepONMF_H2,2,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
8-5,2,SVM,DeepONMF_H2,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
8-5,2,SVM,DeepONMF_H2,4,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
8-5,2,SVM,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
8-5,2,SVM,DeepONMF_W,1,149,39,1,11,0.94,0.93125,0.975,0.9933333333333333,0.953125
8-5,2,SVM,DeepONMF_W,2,141,38,2,19,0.895,0.88125,0.95,0.986013986013986,0.9156249999999999
8-5,2,SVM,DeepONMF_W,3,145,37,3,15,0.91,0.90625,0.925,0.9797297297297297,0.915625
8-5,2,SVM,DeepONMF_W,4,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
8-5,2,SVM,DeepONMF_W,5,150,36,4,10,0.93,0.9375,0.9,0.974025974025974,0.91875
8-5,2,UjaNet,DeepONMF_H2,1,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
8-5,2,UjaNet,DeepONMF_H2,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
8-5,2,UjaNet,DeepONMF_H2,3,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
8-5,2,UjaNet,DeepONMF_H2,4,153,39,1,7,0.96,0.95625,0.975,0.9935064935064936,0.965625
8-5,2,UjaNet,DeepONMF_H2,5,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
8-5,2,UjaNet,DeepONMF_W,1,154,38,2,6,0.96,0.9625,0.95,0.9871794871794872,0.95625
8-5,2,UjaNet,DeepONMF_W,2,150,38,2,10,0.94,0.9375,0.95,0.9868421052631579,0.94375
8-5,2,UjaNet,DeepONMF_W,3,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.9281250000000001
8-5,2,UjaNet,DeepONMF_W,4,147,39,1,13,0.93,0.91875,0.975,0.9932432432432432,0.9468749999999999
8-5,2,UjaNet,DeepONMF_W,5,156,33,7,4,0.945,0.975,0.825,0.9570552147239264,0.8999999999999999
