epoca,loss_train,loss_val
1,1.3826511345411603,0.924513578414917
2,0.8305299991839811,0.5252938270568848
3,0.6280500582958523,0.4598764181137085
4,0.5018701839603876,0.377351313829422
5,0.40623198449611664,0.3437128961086273
6,0.3193574149749781,0.34435778856277466
7,0.31379976721578523,0.3322638273239136
8,0.21202689056333743,0.35050448775291443
9,0.2312326317555026,0.3296368718147278
10,0.1967423717050176,0.34465357661247253
11,0.168955847718998,0.43550360202789307
12,0.12907833929516768,0.43626922369003296
13,0.09975094182759915,0.41833457350730896
14,0.10481459175015946,0.4529534578323364
15,0.12284823792594436,0.49974650144577026
16,0.0765552758760015,0.4701998233795166
17,0.06982513494040177,0.6189996004104614
18,0.10057511218014713,0.4254479706287384
19,0.048597470672623454,0.6066523790359497
