distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
8-4-3,3,KNN,DeepONMF_H3,1,158,34,6,2,0.96,0.9875,0.85,0.9634146341463414,0.91875
8-4-3,3,KNN,DeepONMF_H3,2,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
8-4-3,3,KNN,DeepONMF_H3,3,156,33,7,4,0.945,0.975,0.825,0.9570552147239264,0.8999999999999999
8-4-3,3,KNN,DeepONMF_H3,4,158,34,6,2,0.96,0.9875,0.85,0.9634146341463414,0.91875
8-4-3,3,KNN,DeepONMF_H3,5,160,34,6,0,0.97,1.0,0.85,0.963855421686747,0.925
8-4-3,3,KNN,DeepONMF_W,1,145,34,6,15,0.895,0.90625,0.85,0.9602649006622517,0.878125
8-4-3,3,KNN,DeepONMF_W,2,144,33,7,16,0.885,0.9,0.825,0.9536423841059603,0.8625
8-4-3,3,KNN,DeepONMF_W,3,150,32,8,10,0.91,0.9375,0.8,0.9493670886075949,0.86875
8-4-3,3,KNN,DeepONMF_W,4,143,32,8,17,0.875,0.89375,0.8,0.9470198675496688,0.846875
8-4-3,3,KNN,DeepONMF_W,5,147,31,9,13,0.89,0.91875,0.775,0.9423076923076923,0.846875
8-4-3,3,SVM,DeepONMF_H3,1,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
8-4-3,3,SVM,DeepONMF_H3,2,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
8-4-3,3,SVM,DeepONMF_H3,3,154,35,5,6,0.945,0.9625,0.875,0.9685534591194969,0.91875
8-4-3,3,SVM,DeepONMF_H3,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
8-4-3,3,SVM,DeepONMF_H3,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
8-4-3,3,SVM,DeepONMF_W,1,143,39,1,17,0.91,0.89375,0.975,0.9930555555555556,0.934375
8-4-3,3,SVM,DeepONMF_W,2,143,38,2,17,0.905,0.89375,0.95,0.9862068965517241,0.921875
8-4-3,3,SVM,DeepONMF_W,3,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
8-4-3,3,SVM,DeepONMF_W,4,140,37,3,20,0.885,0.875,0.925,0.9790209790209791,0.9
8-4-3,3,SVM,DeepONMF_W,5,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
8-4-3,3,UjaNet,DeepONMF_H3,1,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
8-4-3,3,UjaNet,DeepONMF_H3,2,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
8-4-3,3,UjaNet,DeepONMF_H3,3,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
8-4-3,3,UjaNet,DeepONMF_H3,4,156,40,0,4,0.98,0.975,1.0,1.0,0.9875
8-4-3,3,UjaNet,DeepONMF_H3,5,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
8-4-3,3,UjaNet,DeepONMF_W,1,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
8-4-3,3,UjaNet,DeepONMF_W,2,160,36,4,0,0.98,1.0,0.9,0.975609756097561,0.95
8-4-3,3,UjaNet,DeepONMF_W,3,151,34,6,9,0.925,0.94375,0.85,0.9617834394904459,0.896875
8-4-3,3,UjaNet,DeepONMF_W,4,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
8-4-3,3,UjaNet,DeepONMF_W,5,160,36,4,0,0.98,1.0,0.9,0.975609756097561,0.95
