clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,37,147,13,3,0.92,0.925,0.91875,0.74,0.921875,40
AS,31,117,43,9,0.74,0.775,0.73125,0.4189189189189189,0.753125,40
MR,16,153,7,24,0.845,0.4,0.95625,0.6956521739130435,0.6781250000000001,40
MS,17,151,9,23,0.84,0.425,0.94375,0.6538461538461539,0.684375,40
MVP,19,152,8,21,0.855,0.475,0.95,0.7037037037037037,0.7124999999999999,40
PROMEDIO_MACRO,120,720,80,80,0.8399999999999999,0.6,0.9,0.642424190076364,0.7500000000000001,200
