distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
14-9,2,KNN,DeepONMF_H2,1,156,33,7,4,0.945,0.975,0.825,0.9570552147239264,0.8999999999999999
14-9,2,KNN,DeepONMF_H2,2,156,37,3,4,0.965,0.975,0.925,0.9811320754716981,0.95
14-9,2,KNN,DeepONMF_H2,3,154,28,12,6,0.91,0.9625,0.7,0.927710843373494,0.83125
14-9,2,KNN,DeepONMF_H2,4,154,35,5,6,0.945,0.9625,0.875,0.9685534591194969,0.91875
14-9,2,KNN,DeepONMF_H2,5,159,32,8,1,0.955,0.99375,0.8,0.9520958083832335,0.8968750000000001
14-9,2,KNN,DeepONMF_W,1,147,32,8,13,0.895,0.91875,0.8,0.9483870967741935,0.859375
14-9,2,KNN,DeepONMF_W,2,142,32,8,18,0.87,0.8875,0.8,0.9466666666666667,0.84375
14-9,2,KNN,DeepONMF_W,3,144,26,14,16,0.85,0.9,0.65,0.9113924050632911,0.775
14-9,2,KNN,DeepONMF_W,4,140,29,11,20,0.845,0.875,0.725,0.9271523178807947,0.8
14-9,2,KNN,DeepONMF_W,5,143,33,7,17,0.88,0.89375,0.825,0.9533333333333334,0.859375
14-9,2,SVM,DeepONMF_H2,1,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
14-9,2,SVM,DeepONMF_H2,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
14-9,2,SVM,DeepONMF_H2,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
14-9,2,SVM,DeepONMF_H2,4,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
14-9,2,SVM,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
14-9,2,SVM,DeepONMF_W,1,147,38,2,13,0.925,0.91875,0.95,0.9865771812080537,0.934375
14-9,2,SVM,DeepONMF_W,2,142,38,2,18,0.9,0.8875,0.95,0.9861111111111112,0.91875
14-9,2,SVM,DeepONMF_W,3,148,36,4,12,0.92,0.925,0.9,0.9736842105263158,0.9125000000000001
14-9,2,SVM,DeepONMF_W,4,147,38,2,13,0.925,0.91875,0.95,0.9865771812080537,0.934375
14-9,2,SVM,DeepONMF_W,5,145,37,3,15,0.91,0.90625,0.925,0.9797297297297297,0.915625
14-9,2,UjaNet,DeepONMF_H2,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
14-9,2,UjaNet,DeepONMF_H2,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
14-9,2,UjaNet,DeepONMF_H2,3,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
14-9,2,UjaNet,DeepONMF_H2,4,160,35,5,0,0.975,1.0,0.875,0.9696969696969697,0.9375
14-9,2,UjaNet,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
14-9,2,UjaNet,DeepONMF_W,1,156,39,1,4,0.975,0.975,0.975,0.9936305732484076,0.975
14-9,2,UjaNet,DeepONMF_W,2,155,38,2,5,0.965,0.96875,0.95,0.9872611464968153,0.959375
14-9,2,UjaNet,DeepONMF_W,3,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
14-9,2,UjaNet,DeepONMF_W,4,160,35,5,0,0.975,1.0,0.875,0.9696969696969697,0.9375
14-9,2,UjaNet,DeepONMF_W,5,159,36,4,1,0.975,0.99375,0.9,0.9754601226993865,0.946875
