epoca,loss_train,loss_val
1,0.3297334834933281,0.09373238682746887
2,0.09025487600899253,0.026004809886217117
3,0.046185299658406474,0.010221806354820728
4,0.023089991521038956,0.0037750080227851868
5,0.048576644417966906,0.01944992132484913
6,0.014512382274933532,0.016273945569992065
7,0.003361264984266056,0.002029281808063388
8,0.0008401458042955948,0.004580426495522261
9,0.0008760866081833322,0.011948011815547943
10,0.006322926125666621,0.23102901875972748
11,0.032040129789517154,0.017804335802793503
12,0.021809038677761954,0.0006501114112325013
13,0.013992247603937358,0.003516297321766615
14,0.0055245416868178595,0.0013173908228054643
15,0.000485536689327516,0.0010407661320641637
16,0.0002247263944820753,0.0006479434086941183
17,0.00020965337282419227,0.00047929983702488244
18,0.00014623210997865535,0.00046229627332650125
19,0.000719158541221083,4.601591354003176e-05
20,0.00028099428329489564,0.0002604514011181891
21,4.9308696186099366e-05,6.428521010093391e-05
22,0.00023682308183709818,7.55391811253503e-05
23,8.96416531617454e-05,7.410832040477544e-05
24,4.682775893423492e-05,5.631223393720575e-05
25,0.00041833196566500686,0.0023268756922334433
26,0.0003557248236631277,0.0021267260890454054
27,2.222908452799145e-05,0.0004673652001656592
28,6.795254267504211e-05,0.00037615111796185374
29,0.00013602182380153364,0.00021999604359734803
