,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,35,0,1,1,3
real_AS,0,27,3,5,5
real_MR,0,8,28,4,0
real_MS,4,12,0,22,2
real_MVP,7,3,3,2,25
