,N,AS,MR,MS,MVP
N,78.0,0.0,17.5,0.0,4.5
AS,0.0,69.0,27.0,0.0,4.0
MR,1.0,1.0,84.5,0.5,13.0
MS,1.0,1.0,21.0,64.0,13.0
MVP,8.0,5.5,9.0,2.5,75.0
