clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,38,146,14,2,0.92,0.95,0.9125,0.7307692307692307,0.9312499999999999,40
AS,27,154,6,13,0.905,0.675,0.9625,0.8181818181818182,0.8187500000000001,40
MR,30,154,6,10,0.92,0.75,0.9625,0.8333333333333334,0.85625,40
MS,35,140,20,5,0.875,0.875,0.875,0.6363636363636364,0.875,40
MVP,21,157,3,19,0.89,0.525,0.98125,0.875,0.753125,40
PROMEDIO_MACRO,151,751,49,49,0.9019999999999999,0.755,0.93875,0.7787296037296036,0.846875,200
