,N,AS,MR,MS,MVP
N,99.0,0.0,0.5,0.0,0.5
AS,0.0,96.0,1.0,0.5,2.5
MR,1.5,1.0,94.0,2.0,1.5
MS,0.0,0.5,1.5,94.0,4.0
MVP,0.5,1.5,1.0,2.0,95.0
