,N,AS,MR,MS,MVP
N,92.5,0.0,0.5,2.0,5.0
AS,0.0,97.0,2.0,0.0,1.0
MR,3.5000000000000004,6.0,88.5,1.0,1.0
MS,0.0,1.0,5.5,87.5,6.0
MVP,3.0,5.5,10.5,4.5,76.5
