,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,32,0,0,2,6
real_AS,0,25,10,5,0
real_MR,1,12,22,4,1
real_MS,4,16,1,10,9
real_MVP,10,8,1,1,20
