metodo,muestras,rasgos_originales,rasgos_entrada_tsne,perplexity,silhouette_features,davies_bouldin_features,silhouette_tsne,davies_bouldin_tsne
Deep-ONMF normal,951,7,7,30,0.08841388738122134,3.1704652327764498,0.1907327026128769,1.7910105910733591
Deep-ONMF mejorado,951,5,5,30,0.1828798340990359,2.2698923598117706,0.20656530559062958,2.0001072388886394
Deep-ONMF mejorado + NNDSVD,951,5,5,30,0.18474069318494576,2.3199050570537043,0.24336718022823334,1.7456324220235768
Deep-ONMF mejorado + NNDSVDa,951,5,5,30,0.16166458750874332,2.70290773231904,0.20561733841896057,2.44202040145266
Deep-ONMF mejorado + NNDSVDar,951,5,5,30,0.1713332735400668,2.725444599183448,0.22236381471157074,2.386907845584959
