,N,AS,MR,MS,MVP
N,89.5,0.0,1.0,5.5,4.0
AS,0.0,89.5,6.0,4.5,0.0
MR,0.0,6.0,82.5,7.5,4.0
MS,4.0,3.5000000000000004,5.0,82.5,5.0
MVP,3.5000000000000004,6.5,5.5,6.5,78.0
