,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,2,0,0,1
real_AS,0,34,3,2,1
real_MR,0,2,36,2,0
real_MS,0,9,1,28,2
real_MVP,1,0,6,3,30
