,N,AS,MR,MS,MVP
N,98.0,0.0,0.0,0.5,1.5
AS,0.0,96.5,2.5,0.5,0.5
MR,1.0,6.5,90.0,1.5,1.0
MS,0.5,1.0,1.5,94.0,3.0
MVP,4.0,2.5,3.0,1.5,89.0
