clase,error_relativo_final,iteraciones,semilla
N,0.11499912798506955,300,42
AS,0.20090829151360348,300,42
MR,0.19448296888985592,300,42
MS,0.14624360317667698,300,42
MVP,0.16813283103787424,300,42
