clase,error_relativo_final,iteraciones,semilla
N,0.11358080511780791,120,7
AS,0.1959641163671239,120,7
MR,0.2030060659970747,120,7
MS,0.14246093375978316,120,7
MVP,0.15431068888215124,120,7
