clase,error_relativo_final,iteraciones,semilla
N,0.11273620079554882,120,99
AS,0.19051023165094821,120,99
MR,0.19352869346711624,120,99
MS,0.14390357591306052,120,99
MVP,0.16065202740083842,120,99
