distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
16-3,2,KNN,DeepONMF_H2,1,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
16-3,2,KNN,DeepONMF_H2,2,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
16-3,2,KNN,DeepONMF_H2,3,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
16-3,2,KNN,DeepONMF_H2,4,156,35,5,4,0.955,0.975,0.875,0.968944099378882,0.925
16-3,2,KNN,DeepONMF_H2,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
16-3,2,KNN,DeepONMF_W,1,150,36,4,10,0.93,0.9375,0.9,0.974025974025974,0.91875
16-3,2,KNN,DeepONMF_W,2,147,35,5,13,0.91,0.91875,0.875,0.9671052631578947,0.896875
16-3,2,KNN,DeepONMF_W,3,149,34,6,11,0.915,0.93125,0.85,0.9612903225806452,0.890625
16-3,2,KNN,DeepONMF_W,4,146,33,7,14,0.895,0.9125,0.825,0.954248366013072,0.8687499999999999
16-3,2,KNN,DeepONMF_W,5,149,33,7,11,0.91,0.93125,0.825,0.9551282051282052,0.878125
16-3,2,SVM,DeepONMF_H2,1,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
16-3,2,SVM,DeepONMF_H2,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
16-3,2,SVM,DeepONMF_H2,3,154,38,2,6,0.96,0.9625,0.95,0.9871794871794872,0.95625
16-3,2,SVM,DeepONMF_H2,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
16-3,2,SVM,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
16-3,2,SVM,DeepONMF_W,1,145,39,1,15,0.92,0.90625,0.975,0.9931506849315068,0.940625
16-3,2,SVM,DeepONMF_W,2,145,35,5,15,0.9,0.90625,0.875,0.9666666666666667,0.890625
16-3,2,SVM,DeepONMF_W,3,145,37,3,15,0.91,0.90625,0.925,0.9797297297297297,0.915625
16-3,2,SVM,DeepONMF_W,4,143,37,3,17,0.9,0.89375,0.925,0.9794520547945206,0.909375
16-3,2,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
16-3,2,UjaNet,DeepONMF_H2,1,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
16-3,2,UjaNet,DeepONMF_H2,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
16-3,2,UjaNet,DeepONMF_H2,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
16-3,2,UjaNet,DeepONMF_H2,4,160,37,3,0,0.985,1.0,0.925,0.9815950920245399,0.9625
16-3,2,UjaNet,DeepONMF_H2,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
16-3,2,UjaNet,DeepONMF_W,1,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
16-3,2,UjaNet,DeepONMF_W,2,159,36,4,1,0.975,0.99375,0.9,0.9754601226993865,0.946875
16-3,2,UjaNet,DeepONMF_W,3,153,36,4,7,0.945,0.95625,0.9,0.9745222929936306,0.9281250000000001
16-3,2,UjaNet,DeepONMF_W,4,151,39,1,9,0.95,0.94375,0.975,0.993421052631579,0.959375
16-3,2,UjaNet,DeepONMF_W,5,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
