,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,0,0,1,2
real_AS,0,38,0,1,1
real_MR,1,3,33,3,0
real_MS,0,6,0,34,0
real_MVP,4,1,1,3,31
