distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
16-12-8-4,4,KNN,DeepONMF_H4,1,159,34,6,1,0.965,0.99375,0.85,0.9636363636363636,0.921875
16-12-8-4,4,KNN,DeepONMF_H4,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
16-12-8-4,4,KNN,DeepONMF_H4,3,157,34,6,3,0.955,0.98125,0.85,0.9631901840490797,0.9156249999999999
16-12-8-4,4,KNN,DeepONMF_H4,4,157,34,6,3,0.955,0.98125,0.85,0.9631901840490797,0.9156249999999999
16-12-8-4,4,KNN,DeepONMF_H4,5,160,32,8,0,0.96,1.0,0.8,0.9523809523809523,0.9
16-12-8-4,4,KNN,DeepONMF_W,1,147,35,5,13,0.91,0.91875,0.875,0.9671052631578947,0.896875
16-12-8-4,4,KNN,DeepONMF_W,2,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.9281250000000001
16-12-8-4,4,KNN,DeepONMF_W,3,148,35,5,12,0.915,0.925,0.875,0.9673202614379085,0.9
16-12-8-4,4,KNN,DeepONMF_W,4,143,33,7,17,0.88,0.89375,0.825,0.9533333333333334,0.859375
16-12-8-4,4,KNN,DeepONMF_W,5,150,31,9,10,0.905,0.9375,0.775,0.9433962264150944,0.85625
16-12-8-4,4,SVM,DeepONMF_H4,1,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
16-12-8-4,4,SVM,DeepONMF_H4,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
16-12-8-4,4,SVM,DeepONMF_H4,3,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
16-12-8-4,4,SVM,DeepONMF_H4,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
16-12-8-4,4,SVM,DeepONMF_H4,5,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
16-12-8-4,4,SVM,DeepONMF_W,1,147,39,1,13,0.93,0.91875,0.975,0.9932432432432432,0.9468749999999999
16-12-8-4,4,SVM,DeepONMF_W,2,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
16-12-8-4,4,SVM,DeepONMF_W,3,145,37,3,15,0.91,0.90625,0.925,0.9797297297297297,0.915625
16-12-8-4,4,SVM,DeepONMF_W,4,151,39,1,9,0.95,0.94375,0.975,0.993421052631579,0.959375
16-12-8-4,4,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
16-12-8-4,4,UjaNet,DeepONMF_H4,1,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
16-12-8-4,4,UjaNet,DeepONMF_H4,2,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
16-12-8-4,4,UjaNet,DeepONMF_H4,3,156,39,1,4,0.975,0.975,0.975,0.9936305732484076,0.975
16-12-8-4,4,UjaNet,DeepONMF_H4,4,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
16-12-8-4,4,UjaNet,DeepONMF_H4,5,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
16-12-8-4,4,UjaNet,DeepONMF_W,1,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
16-12-8-4,4,UjaNet,DeepONMF_W,2,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
16-12-8-4,4,UjaNet,DeepONMF_W,3,153,36,4,7,0.945,0.95625,0.9,0.9745222929936306,0.9281250000000001
16-12-8-4,4,UjaNet,DeepONMF_W,4,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
16-12-8-4,4,UjaNet,DeepONMF_W,5,159,35,5,1,0.97,0.99375,0.875,0.9695121951219512,0.934375
