,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,0,1,2,0
real_AS,0,31,4,4,1
real_MR,0,3,35,2,0
real_MS,0,6,3,29,2
real_MVP,13,1,3,2,21
