clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,39,160,0,1,0.995,0.975,1.0,1.0,0.9875,40
AS,38,159,1,2,0.985,0.95,0.99375,0.9743589743589743,0.971875,40
MR,38,155,5,2,0.965,0.95,0.96875,0.8837209302325582,0.959375,40
MS,37,159,1,3,0.98,0.925,0.99375,0.9736842105263158,0.9593750000000001,40
MVP,39,158,2,1,0.985,0.975,0.9875,0.9512195121951219,0.98125,40
PROMEDIO_MACRO,191,791,9,9,0.982,0.9549999999999998,0.9887499999999999,0.956596725462594,0.971875,200
