metodo,muestras,rasgos_originales,rasgos_entrada_tsne,perplexity,silhouette_features,davies_bouldin_features,silhouette_tsne,davies_bouldin_tsne
CNN,951,64,50,30,0.06066155461399213,4.28820010013952,0.1023767963051796,3.5466694715793436
DWT,951,18,18,30,0.08435497719101517,3.795020216945636,0.1267702430486679,16.352727902954232
Deep-ONMF W por audio + NNDSVD,951,882,50,30,-0.03282280106551239,6.274271077923846,0.055668652057647705,2.633127561137764
Deep-ONMF W por audio + NNDSVDa,951,882,50,30,-0.03444639471825736,5.831180308507679,0.0337587334215641,3.0931790098726486
Deep-ONMF W por audio + NNDSVDar,951,882,50,30,-0.02805492448480449,5.61661758722951,0.05429523065686226,2.709796071954027
MFCC,951,13,13,30,0.16054495193997767,3.8272929149074395,0.16942764818668365,6.1427160429926415
STFT,951,252,50,30,0.06103421413010702,3.5841883358155604,0.15710484981536865,3.192572743874011
