distribucion,representacion,padding_aplicado,forma_original,forma_ujanet,filas_cero_anadidas,columnas_cero_anadidas
16-9,DeepONMF_W,False,126x9,126x9,0,0
16-9,DeepONMF_H2,False,9x212,9x212,0,0
