,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,38,2,0,0,0
real_AS,0,39,0,1,0
real_MR,0,2,35,3,0
real_MS,0,6,1,32,1
real_MVP,2,1,2,2,33
