,N,AS,MR,MS,MVP
N,98.0,0.0,0.5,0.0,1.5
AS,0.5,97.5,1.5,0.0,0.5
MR,1.0,2.0,94.5,2.0,0.5
MS,0.0,1.5,0.5,94.0,4.0
MVP,3.0,3.0,1.5,1.5,91.0
