,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,35,1,0,3,1
real_AS,0,23,6,3,8
real_MR,0,2,34,4,0
real_MS,3,5,0,30,2
real_MVP,14,5,3,3,15
