distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
16-10-5,3,KNN,DeepONMF_H3,1,157,32,8,3,0.945,0.98125,0.8,0.9515151515151515,0.890625
16-10-5,3,KNN,DeepONMF_H3,2,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
16-10-5,3,KNN,DeepONMF_H3,3,155,32,8,5,0.935,0.96875,0.8,0.950920245398773,0.884375
16-10-5,3,KNN,DeepONMF_H3,4,157,35,5,3,0.96,0.98125,0.875,0.9691358024691358,0.928125
16-10-5,3,KNN,DeepONMF_H3,5,159,33,7,1,0.96,0.99375,0.825,0.9578313253012049,0.909375
16-10-5,3,KNN,DeepONMF_W,1,147,35,5,13,0.91,0.91875,0.875,0.9671052631578947,0.896875
16-10-5,3,KNN,DeepONMF_W,2,135,36,4,25,0.855,0.84375,0.9,0.9712230215827338,0.871875
16-10-5,3,KNN,DeepONMF_W,3,147,36,4,13,0.915,0.91875,0.9,0.9735099337748344,0.909375
16-10-5,3,KNN,DeepONMF_W,4,141,35,5,19,0.88,0.88125,0.875,0.9657534246575342,0.878125
16-10-5,3,KNN,DeepONMF_W,5,146,35,5,14,0.905,0.9125,0.875,0.9668874172185431,0.89375
16-10-5,3,SVM,DeepONMF_H3,1,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
16-10-5,3,SVM,DeepONMF_H3,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
16-10-5,3,SVM,DeepONMF_H3,3,155,37,3,5,0.96,0.96875,0.925,0.9810126582278481,0.946875
16-10-5,3,SVM,DeepONMF_H3,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
16-10-5,3,SVM,DeepONMF_H3,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
16-10-5,3,SVM,DeepONMF_W,1,145,39,1,15,0.92,0.90625,0.975,0.9931506849315068,0.940625
16-10-5,3,SVM,DeepONMF_W,2,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
16-10-5,3,SVM,DeepONMF_W,3,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.9281250000000001
16-10-5,3,SVM,DeepONMF_W,4,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
16-10-5,3,SVM,DeepONMF_W,5,148,36,4,12,0.92,0.925,0.9,0.9736842105263158,0.9125000000000001
16-10-5,3,UjaNet,DeepONMF_H3,1,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
16-10-5,3,UjaNet,DeepONMF_H3,2,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
16-10-5,3,UjaNet,DeepONMF_H3,3,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
16-10-5,3,UjaNet,DeepONMF_H3,4,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
16-10-5,3,UjaNet,DeepONMF_H3,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
16-10-5,3,UjaNet,DeepONMF_W,1,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
16-10-5,3,UjaNet,DeepONMF_W,2,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
16-10-5,3,UjaNet,DeepONMF_W,3,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
16-10-5,3,UjaNet,DeepONMF_W,4,156,39,1,4,0.975,0.975,0.975,0.9936305732484076,0.975
16-10-5,3,UjaNet,DeepONMF_W,5,153,36,4,7,0.945,0.95625,0.9,0.9745222929936306,0.9281250000000001
