clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,38,146,14,2,0.92,0.95,0.9125,0.7307692307692307,0.9312499999999999,40
AS,29,148,12,11,0.885,0.725,0.925,0.7073170731707317,0.825,40
MR,31,152,8,9,0.915,0.775,0.95,0.7948717948717948,0.8625,40
MS,32,148,12,8,0.9,0.8,0.925,0.7272727272727273,0.8625,40
MVP,19,155,5,21,0.87,0.475,0.96875,0.7916666666666666,0.721875,40
PROMEDIO_MACRO,149,749,51,51,0.898,0.745,0.9362499999999999,0.7503794985502302,0.840625,200
