,N,AS,MR,MS,MVP
N,98.5,0.0,0.5,0.0,1.0
AS,0.5,93.5,4.0,0.5,1.5
MR,2.0,3.5000000000000004,92.0,1.5,1.0
MS,0.5,1.0,1.0,94.0,3.5000000000000004
MVP,2.5,2.0,2.5,2.5,90.5
